Source_Node_Index,Target_Node_Index,Source_MemberID,Target_MemberID
571,1764,87046162,87046162
2687,3709,96368191,96368191
366,312,99024526,97680709
2875,1316,73997433,85172181
2608,3187,57370660,63595738
1399,1623,9606755,9606755
1702,1395,54165321,54165321
1412,1333,3326112,75498715
3552,4389,16989025,16989025
128,376,39068744,39068744
927,995,4739849,4739849
1949,2440,62841965,29144385
4502,2962,63074469,63074469
742,949,35987205,33396791
3278,1827,3697363,3697363
1442,2114,84494751,51538862
982,638,9213031,59732273
3284,2544,16488584,16488584
1632,1686,20066342,8403135
4912,3210,14580682,14580682
1003,1663,99157261,78582654
834,659,68462636,6691184
369,330,72080450,79623348
1795,1865,6497871,6497871
3530,1903,82638324,82638324
2516,2793,20806029,7885823
2682,3499,41426298,41426298
2021,2033,84764606,87202430
3306,4117,53317082,53317082
3681,3240,33339877,16034081
83,94,99139401,70861085
143,108,15150501,91024552
2309,2207,26694615,26694615
602,659,48847892,6691184
2087,1340,95844498,72843366
693,777,1767713,69590043
3656,3183,55144994,64632619
2422,2084,84356842,26939565
794,600,34500822,80321589
338,320,12221937,80263930
3101,3833,83753761,83753761
4691,4796,63014001,13030060
2640,994,87286672,87286672
4366,3464,83605388,83605388
4040,261,92078885,27581895
4279,543,11265960,11265960
2842,2791,22032242,22032242
4320,4516,72620436,72620436
3795,3877,90256460,90256460
1794,1882,75976765,75976765
1642,27,18001358,42181723
2344,2285,9793774,77510048
3727,969,9492523,9492523
2211,2170,52175700,51172528
2395,2745,68264172,55369705
1760,4220,72311917,72311917
153,395,40083869,61616329
2535,4482,40724694,40724694
405,616,14543888,14543888
1713,1664,53728098,76672759
1351,494,55580846,55580846
556,785,68918502,68918502
3352,45,6568470,6568470
2746,2450,32088593,5566059
2097,4256,65699949,25631086
1646,2105,80557515,80557515
1744,4626,8099224,8099224
2539,925,38061764,825842
4734,1473,9652766,31123727
4975,1599,52745562,52745562
661,1215,73100110,73100110
3086,2491,91260846,91260846
2329,2283,73110291,73110291
646,1846,67656006,67656006
1687,601,97566358,60521345
4381,833,74370807,74370807
193,4264,78971954,78971954
4200,3939,86697510,86697510
284,218,31234794,52491838
497,1265,55787795,55787795
2207,2293,26694615,65708090
2389,2270,86709,90081118
3715,3601,76836361,76836361
453,404,54514698,56663407
2712,708,41356004,41356004
3758,2776,63152059,63152059
2411,3520,82085980,82085980
585,560,6627471,39038717
3780,4484,450149,450149
76,188,9073111,1228171
511,345,96098076,66348349
576,511,8468202,96098076
3905,3469,38111005,76062258
4142,4873,42916025,42916025
1358,1678,87393448,87393448
193,184,78971954,47099989
2761,4020,84545400,83337794
1916,1713,78961115,53728098
2186,1308,1104236,1104236
4925,2249,39505396,22226046
1003,4604,99157261,99157261
2868,1342,59322962,59322962
521,925,880904,825842
335,1472,49149561,49149561
374,1400,72703371,72703371
1697,1265,55787795,55787795
883,3492,64788845,64788845
1438,3256,20677829,20677829
851,1739,75486941,72290931
2107,3351,30333839,3567800
971,2558,2759427,2759427
118,427,92273427,62841965
2017,425,71359895,85387150
3858,4188,7762808,49319714
2818,3857,72287649,86221068
3126,3973,65370101,8269932
1581,43,43552817,80161326
2964,2928,57566024,53452438
4646,4877,33085503,92370975
1912,1311,33396791,43253326
2120,2014,20158193,31234794
3293,1117,85400514,85400514
3914,3679,53394897,71326034
2790,2748,58270255,26599192
3765,4081,96241291,96241291
4427,4466,46463311,55569182
2393,2523,4421835,66951188
2006,4063,8675747,8675747
783,938,43331905,46807977
1648,2140,12577724,37210669
1553,3300,69591165,69591165
2196,1191,52728425,52728425
21,63,55430765,39970307
836,3393,90256460,90256460
1982,2430,23128304,8147980
1264,2150,39797975,39797975
2532,2308,62491214,62491214
1938,1835,54871328,84764606
3836,2685,28940878,28940878
1795,1786,6497871,58107573
1618,2153,89809909,52768708
406,547,90113241,90113241
1132,1213,95410359,82939188
43,2481,80161326,80161326
2159,2248,63111094,91260846
3637,526,38300250,38300250
4094,3623,91161366,52246533
2118,1392,53691700,66193167
1920,1673,60123721,38157372
2178,2197,14247555,63920921
4385,3543,26477481,26477481
648,1773,9261283,9261283
4911,4821,54314665,33396791
4719,4062,61300702,42181723
3181,4043,1027829,1027829
1904,4294,1325162,1325162
1190,2736,26754623,26754623
4502,4064,63074469,10093029
4906,3659,34492720,34492720
606,3210,14580682,14580682
3436,4269,62649661,62649661
1171,1181,17488746,76109820
4094,2697,91161366,91161366
2924,2845,25631086,25631086
2022,2973,97818130,97818130
3565,2878,84557253,84557253
4922,4542,31768171,75650220
2902,319,96344330,96344330
2532,1503,62491214,1721182
4526,4313,28701193,28701193
558,136,78951624,21585717
3873,4162,71688458,4442398
2472,2428,21109338,90980236
932,1020,24400347,82555584
1047,1761,3093542,3093542
4964,4660,32994327,30614666
2729,512,47158970,47158970
3147,3240,28471584,16034081
621,606,75284018,14580682
4762,4674,69088393,95183713
2587,3546,15735910,15735910
2170,2211,51172528,52175700
2109,1972,78287377,78287377
159,3406,23520654,23520654
3953,1768,54170146,62292453
1854,1453,39732146,8862005
4968,3732,22954923,55487346
4049,1476,76618830,76618830
4020,2761,83337794,84545400
2631,2313,4739849,76008794
2383,2211,54047974,52175700
2990,2889,94958101,31718399
4409,3216,94922785,831279
3404,1711,79611545,79611545
584,1599,52745562,52745562
2375,1798,67079740,67079740
2707,56,93281248,93281248
3198,4760,8030237,8030237
2969,2951,26222227,62734239
1883,4490,94299203,94299203
3607,1252,9631831,9631831
3099,4000,86412233,86412233
1958,1631,95695568,33220852
1693,4100,78325772,78325772
1397,1069,5972310,5972310
41,273,83602230,71280693
1245,1466,73349254,97321145
1379,3415,92697080,92697080
1668,1303,36966967,7344987
3271,2205,99377248,32193999
4926,3563,39401708,60941987
1593,1654,1325162,69511679
2509,3087,21585717,94556244
4665,2512,31938136,31938136
3536,2890,61279523,61279523
365,1043,99917990,99917990
3823,3886,52924700,52924700
3963,3637,18660372,38300250
2041,2689,58595677,58595677
1215,661,73100110,73100110
2140,1648,37210669,12577724
669,636,71328911,86399259
2714,4889,31458464,31458464
3925,4284,22624117,22624117
336,463,7599480,7599480
4291,4112,4171362,4171362
1729,1821,76165809,76165809
3895,3358,79623348,79623348
564,4528,14818234,49456731
4631,4446,46313406,46313406
4106,4066,81663034,81663034
2805,2977,63049188,38606865
1553,2992,69591165,65080402
636,580,86399259,86399259
4107,3887,52564245,52564245
442,3720,58091147,58091147
533,1098,1027829,1027829
4146,2832,55472908,55472908
4698,3574,27581895,77846945
3909,4582,94983862,28277772
1353,1776,25163028,25163028
3189,3209,84550236,74607937
37,409,11938284,41318743
1315,1026,55273210,55273210
1048,911,20546492,77640159
372,399,91119397,70922094
4131,4136,20626521,76347047
2238,2169,57827943,90942953
1968,2079,86412233,40971858
749,1517,72883065,94721060
3240,3147,16034081,28471584
4394,3957,64367929,64367929
3966,4190,71393127,71393127
4046,3661,45735452,45735452
3609,3623,16362430,52246533
2263,3286,77703817,77703817
1236,2022,97818130,97818130
355,58,831279,831279
2260,2493,83617791,88703349
936,683,46965155,36966967
891,3155,34860580,55580846
2625,4806,22830662,22830662
3673,1285,97856648,97856648
1326,868,64662274,79815764
1885,337,34110795,34110795
3376,4216,18057896,18057896
4347,4124,16748809,16748809
1529,675,51002974,7762808
4990,4755,91882810,91882810
3278,4849,3697363,3697363
3479,4839,44988556,44988556
2598,3104,67379783,67379783
4585,4706,31729823,14609777
96,598,63760904,63760904
717,3914,53394897,53394897
476,590,98913094,98913094
902,927,29767894,4739849
2471,30,61069779,61069779
2841,3010,51708076,23293130
893,878,49319714,70498422
373,2303,4895866,4895866
366,1361,99024526,99024526
720,132,96637506,96637506
2160,1565,32983595,48316854
408,540,54918306,28698985
1375,1295,35957506,4739849
2636,3251,52898903,98387930
1901,1341,96778499,96778499
1152,1223,99751804,9724978
3753,2459,26349323,26349323
2992,3300,65080402,69591165
1168,2924,57962873,25631086
2150,1264,39797975,39797975
2962,3128,63074469,36064709
2511,2438,68249807,68249807
3046,3765,96241291,96241291
4887,3327,2641508,2641508
73,442,58091147,58091147
3034,2479,28800484,42256386
1540,3964,79443246,79443246
64,622,64195580,64195580
559,601,77728703,60521345
2909,269,5625565,5625565
279,3930,40896252,40896252
3820,2112,52652730,52652730
1653,2794,3001801,47237488
1343,1585,89628377,56559788
675,897,7762808,7762808
4059,3562,87040196,90256460
3408,2289,9606755,86697510
3217,2721,53317082,53317082
552,1729,76165809,76165809
1823,2158,91755428,61558878
3669,4050,84617330,52214023
2270,2389,90081118,86709
1031,946,73952224,84617330
4537,4503,12051656,12051656
645,3125,831279,87911015
2735,4411,60455744,60455744
1922,70,22226046,22226046
2039,1409,49319714,5065245
1407,415,40576712,40576712
1426,428,96858229,33670703
4235,876,28277772,28277772
218,284,52491838,31234794
2461,1812,27688365,27688365
1363,1540,79443246,79443246
3075,1217,2027158,2027158
965,484,65638900,65638900
4853,2911,10826302,10826302
2805,2790,63049188,58270255
3801,3243,53239647,53239647
3123,3365,12051656,12051656
16,42,21895301,60724784
2025,1632,20066342,20066342
1224,1583,3719496,3719496
2564,2849,62448644,80869327
2514,1042,96241025,82100627
1256,1535,33869894,91471966
2973,3542,97818130,97818130
1149,1180,47099989,59751103
1627,1478,56423585,72667571
434,4352,13556190,13556190
4179,3990,81022944,74540117
306,2854,5843627,5843627
3415,1379,92697080,92697080
1698,3344,22408568,20047112
2649,3566,31138176,73802144
3361,4297,52123122,56860028
2208,4089,82443740,71353105
2173,2819,91220018,91220018
1727,3227,9236630,25140237
4905,3343,76444248,91220018
319,285,96344330,1970790
40,641,64575436,2641508
3991,4585,31729823,31729823
1711,3404,79611545,79611545
4773,3803,34500822,34500822
1518,1548,369747,35343921
4582,4235,28277772,28277772
1676,2888,13624371,93141410
2715,1045,25384310,25384310
2111,2062,30160604,72068946
1844,3933,22050395,22050395
324,521,880904,880904
609,2905,84632050,84632050
3136,4421,26609568,26609568
1854,2113,39732146,91429240
1126,391,18784531,18784531
2060,1952,825842,825842
606,621,14580682,75284018
3243,3500,53239647,27243059
1020,1163,82555584,72839141
3015,3084,1970790,1970790
981,912,37477106,91161366
3730,2800,32088593,66105155
490,1348,96126474,11671303
1635,2604,14189905,14189905
933,871,38349362,80321589
2405,4737,10992474,10992474
3900,4416,71945328,5843627
369,2226,72080450,72080450
388,290,53794076,80016307
4422,4232,40276355,40276355
2137,2707,6241926,93281248
4370,1561,11031932,59459170
1827,1498,3697363,53172931
1937,1895,38572881,59249047
3351,2107,3567800,30333839
3210,2168,14580682,8749915
142,2220,61798233,8919246
2000,1426,96858229,96858229
1905,105,98623137,98623137
3350,3868,45259471,91260846
1457,3887,52564245,52564245
2713,2759,98350575,20660827
2272,3282,76568731,76568731
2317,2301,38781844,31761859
130,116,86189077,58710869
2933,318,65110200,65110200
601,1687,60521345,97566358
888,697,98753153,18836855
1027,1795,6497871,6497871
326,701,33787774,18067648
4190,3966,71393127,71393127
2447,4747,99439601,99439601
776,1395,54165321,54165321
2858,2066,85254077,85254077
12,16,77521690,21895301
3203,300,77463223,77463223
1155,933,26569829,38349362
3050,960,75445835,75445835
2821,1137,39995722,39995722
2363,2245,3846152,46804787
1002,1105,5821557,74472230
4830,4713,50191997,44481924
2476,1368,48847892,95953843
517,538,78582654,49752178
42,16,60724784,21895301
1198,3905,38111005,38111005
2130,1899,7990251,6398640
433,1298,39016892,73952224
3086,2990,91260846,94958101
4041,473,62248567,62248567
1565,400,48316854,48118368
3027,3578,89297915,89297915
3474,2577,98566579,98566579
4358,3792,64733884,64733884
707,783,79527307,43331905
3188,1954,76150680,76150680
4805,4777,38366494,18784531
3017,2072,21181910,21181910
4450,4549,59941088,37935648
305,1005,78325772,913845
3249,1183,16183509,16183509
1272,1989,37935648,12474288
396,369,58835395,72080450
1294,1519,82739222,29816972
2340,3550,67507435,67507435
3429,4268,83677399,83677399
1380,1293,43861744,34752960
3162,3658,43258128,43258128
1427,62,89554216,89554216
4584,3502,58446409,58446409
1590,1517,62080505,94721060
1495,462,20093709,20093709
1230,945,5537114,5537114
2567,1499,93818445,51016486
4535,1102,97680709,97680709
2630,1030,23847065,1338773
2339,4530,20138803,20138803
1888,2379,69638650,83227007
3101,2601,83753761,83753761
2218,2254,90883735,55631200
83,30,99139401,61069779
1098,533,1027829,1027829
1290,2689,93880038,58595677
3044,3006,76639366,76639366
1480,1995,83759594,83759594
4202,3292,76165809,42262289
1271,1592,58056219,58056219
562,149,81623945,14609777
2697,912,91161366,91161366
1596,894,47012170,91341487
4985,1688,54546641,54546641
3304,3310,42705427,54618160
2662,3843,37989923,21383199
4062,1942,42181723,42181723
1061,1001,15612828,15612828
2957,4700,71671025,40409633
192,323,94622865,94622865
1202,1943,29150144,93818445
1224,4671,3719496,23791371
4806,2625,22830662,22830662
3859,4508,37989923,37989923
898,485,93734609,93734609
1990,2632,13131189,13131189
4472,2456,17796614,17796614
1344,1474,48738147,76109820
3257,3356,29625654,21246098
4931,4727,76109820,76109820
454,444,7548243,1721182
3843,2662,21383199,37989923
3886,3823,52924700,52924700
2253,2224,10685063,67507435
1019,1125,71875332,66555757
4539,4617,84356842,25163028
3615,4232,40276355,40276355
578,3368,42757268,42757268
3305,3023,13182896,39760790
4277,4876,37944375,89326923
166,162,78549961,22317580
1602,1890,17433680,33546608
3945,3585,90330463,6565440
411,1161,72676149,72676149
4750,3524,32132980,32132980
1073,314,43893505,88872628
99,108,82618070,91024552
2672,1511,91944535,91944535
1318,1313,72012142,33865272
2878,3565,84557253,84557253
1599,4975,52745562,52745562
3079,1111,10083633,10083633
166,283,78549961,78549961
4706,4851,14609777,14609777
1663,2250,78582654,78582654
28,578,85744392,42757268
1502,841,76737326,76920475
781,1081,68562779,68562779
3298,3141,99751804,99751804
140,1,41503975,80798103
1655,3005,78352630,78352630
516,517,33427104,78582654
3284,4145,16488584,16488584
565,638,5929853,59732273
4735,1014,78816124,78816124
984,1036,8024042,16431842
77,66,79265056,13187109
4044,342,67046351,67046351
1265,497,55787795,55787795
4680,260,37877728,37877728
3513,4318,32213582,32213582
3962,2195,16477221,31528690
10,12,74506334,77521690
27,1642,42181723,18001358
969,620,9492523,49773247
4608,1323,63772131,63772131
447,1972,78287377,78287377
822,1095,59570958,59570958
3934,3301,86072725,71574553
1482,1370,89082723,89082723
1327,3482,59932167,59932167
1482,1141,89082723,34748966
4262,4069,92665667,92665667
24,68,51172528,10527493
683,936,36966967,46965155
1968,1263,86412233,60934677
1099,585,47082022,6627471
1941,1840,6691184,84494751
1548,1845,35343921,35343921
2790,2805,58270255,63049188
4235,4582,28277772,28277772
2229,4458,50738289,50738289
1601,2674,83345380,3072183
262,61,57789852,76444248
580,636,86399259,86399259
4790,4575,91938020,91938020
124,1588,688384,688384
1387,1375,4174602,35957506
3307,3445,70067640,19798766
4202,2863,76165809,76165809
3596,3319,45442808,8919246
1832,2957,24449771,71671025
3993,4675,73487618,83490498
4851,4706,14609777,14609777
4617,4539,25163028,84356842
4326,4067,34440553,14949527
3665,4321,21427782,76947659
4675,4709,83490498,43253326
4793,4472,17796614,17796614
1219,1912,33396791,33396791
1150,1287,34890513,34890513
4572,4244,10993729,10993729
3710,4737,43594474,10992474
4703,3495,61131546,43222750
2192,1664,76672759,76672759
1621,414,5628611,21600015
3153,3099,22415743,86412233
173,2998,53172931,38138720
3003,4323,5065245,5065245
4779,3490,15768923,15768923
2900,2424,31196232,31196232
4455,2383,54047974,54047974
4637,4080,69590043,69590043
2033,2021,87202430,84764606
4332,3215,55580846,55580846
4068,2617,38640906,38640906
1907,3373,28266219,41077493
322,3508,22493143,22493143
1351,3155,55580846,55580846
2996,1839,77521690,78628617
4200,4493,86697510,86697510
4129,4024,891986,891986
2741,566,60843452,60843452
3718,777,69590043,69590043
4858,3904,14262040,14262040
3714,3287,76905660,76905660
4777,2784,18784531,18784531
1822,3679,71326034,71326034
2202,3900,71945328,71945328
1491,1859,24677336,90046574
1195,777,92370975,69590043
1367,4038,35562838,35562838
1606,119,71574553,71574553
2962,915,63074469,65493562
2839,2013,86936795,86936795
1521,1472,70893475,49149561
2589,3299,82109548,82109548
225,1481,72151099,83345380
956,2454,41543018,95183713
1013,773,59267943,30293130
287,144,58349697,22317580
378,262,76444248,57789852
2172,2193,61360005,50263545
3536,4570,61279523,61279523
2963,736,6338375,6338375
3300,1553,69591165,69591165
225,4635,72151099,72151099
3394,3174,21681458,70063342
1663,1003,78582654,99157261
3834,3446,55611572,55611572
2681,3009,50557340,50557340
907,202,71622676,71622676
2221,3253,7762808,7762808
4206,2005,92788302,92788302
2481,3069,80161326,52123122
3904,4858,14262040,14262040
3713,4095,11333535,11333535
4292,4445,275408,275408
4321,3160,76947659,76947659
2660,2253,23860136,10685063
2827,3184,3809613,3809613
48,2090,46313406,46313406
2890,500,61279523,61279523
2798,911,77640159,77640159
138,263,14044657,1970790
2084,2093,26939565,26939565
4799,425,85387150,85387150
1314,3343,76444248,91220018
3677,4936,94990459,3147370
2476,3785,48847892,48847892
444,454,1721182,7548243
621,2073,75284018,75284018
2316,2335,85428500,4103875
330,3358,79623348,79623348
3606,2023,14914029,14914029
1052,81,45477962,45477962
2277,1589,96586510,13217521
1802,1067,67279293,60598735
4799,4747,85387150,99439601
4033,3753,26349323,26349323
2292,931,74523706,74523706
1682,1416,45552137,45552137
3244,331,18571693,18571693
2746,3730,32088593,32088593
3006,688,76639366,76639366
688,1201,76639366,93208898
3549,3825,4423285,4423285
4602,4849,52981190,3697363
2568,2677,43735288,43735288
1544,893,96723417,49319714
3951,1132,95410359,95410359
3101,2911,83753761,10826302
2929,2161,67656006,94556244
2803,3217,27936689,53317082
333,451,68111959,1542254
1453,1714,8862005,8862005
3473,3722,35343921,35343921
635,264,72336049,72336049
1829,2230,26577463,26577463
2706,2503,35800706,84926098
4078,3014,76898873,59941088
2689,2041,58595677,58595677
3047,3735,6241926,62100869
1512,1247,19690052,19690052
1342,1324,59322962,59322962
1997,4931,56525099,76109820
2484,1114,19461637,10310429
4796,4691,13030060,63014001
400,1565,48118368,48316854
137,697,98753153,18836855
1365,1722,55959752,55959752
374,115,72703371,72703371
4045,4005,72068946,84241450
2384,2344,14936660,9793774
4476,4457,20807752,28471584
1133,1335,891986,891986
608,1450,74693675,74693675
374,1283,72703371,18234258
1747,1494,4103875,4103875
1702,2246,54165321,55475595
4668,4398,91119397,73487618
951,1035,16936998,66691366
404,1162,56663407,56663407
414,1621,21600015,5628611
1224,672,3719496,3719496
2220,142,8919246,61798233
2089,1608,5648239,5648239
2736,1190,26754623,26754623
2703,2999,91169056,91169056
1201,688,93208898,76639366
2618,2403,72550225,93880038
4340,2731,26961216,26961216
4698,261,27581895,27581895
4013,2373,85706086,85706086
3858,3253,7762808,7762808
163,403,41077493,41077493
3864,3970,82044903,82044903
4127,2623,42185671,42185671
3547,4788,7272289,7272289
3932,2155,10530537,10530537
948,858,58816110,96368191
1682,3068,45552137,38185255
1582,1669,5087897,5087897
2674,1601,3072183,83345380
611,714,3223892,880904
1925,1779,29385188,35252118
944,2846,55579384,65932399
2112,3820,52652730,52652730
4598,4581,82044903,71937912
1372,1041,99236382,99236382
1188,1220,59941088,82096997
2832,4146,55472908,55472908
547,406,90113241,90113241
2245,2363,46804787,3846152
3468,3044,76639366,76639366
1040,1736,37748325,37748325
4748,3064,97231296,77017419
743,991,37031481,26477481
1598,1505,36857429,13722979
4579,4423,90439327,11610350
1036,984,16431842,8024042
4064,4502,10093029,63074469
2460,2409,40642527,42288870
3833,3852,83753761,5648239
2054,738,94958101,24400347
2833,2654,78583328,19987140
2776,1891,63152059,63152059
4570,1112,61279523,1579297
731,55,36629563,36629563
337,1885,34110795,34110795
2424,2900,31196232,31196232
2961,2058,96723417,96723417
2775,3588,891986,891986
4380,4371,46326040,13261248
1959,2019,72336049,72336049
1878,2848,56565815,88395019
2181,405,21210019,14543888
2210,1106,37490995,50578938
558,2234,78951624,78951624
442,73,58091147,58091147
1185,1578,95844498,95844498
2269,1915,96778499,96778499
4707,3719,35234690,61649850
4421,4079,26609568,46901377
3369,3465,57894874,57894874
671,310,98631439,98631439
4048,3982,76470318,43567228
4626,1744,8099224,8099224
3528,1243,52246533,52246533
871,600,80321589,80321589
2330,4298,98156257,98156257
4847,171,51220806,99591486
3812,1941,6691184,6691184
2150,2381,39797975,4423285
3082,2590,29625654,82652170
4942,4380,46326040,46326040
682,849,91063605,67128418
2810,1902,91883324,91883324
1413,1822,71326034,71326034
4508,3859,37989923,37989923
2960,4815,72703371,72703371
2932,2767,54620489,23377072
716,847,92652295,56408396
270,3012,42907588,42907588
4404,4152,47051532,47051532
3635,3412,12166258,29506377
3096,2609,67990276,53157550
780,3757,46687324,46687324
118,110,92273427,1966030
429,3944,85483706,85483706
3236,3299,87461979,82109548
1039,2412,21860020,21860020
2606,3132,95183713,95183713
925,2539,825842,38061764
3786,2948,75954127,67079740
2598,2490,67379783,4318212
3484,102,62265367,62265367
3850,3872,24399252,70530049
1245,1470,73349254,73349254
4870,4453,78981185,20362932
1599,1702,52745562,54165321
4087,3815,62141638,62141638
307,921,85278033,57877896
2077,2229,50557340,50738289
1208,1551,35894303,41542028
3189,3079,84550236,10083633
3526,4650,49919615,49919615
718,906,15070125,18057896
1301,2947,49456731,5250814
4229,4807,14150571,14150571
1447,3001,83796176,39490030
2393,3145,4421835,4421835
2935,1213,82939188,82939188
110,3,1966030,56261721
607,3024,6338813,6338813
3618,223,93626352,93626352
4679,3057,89027556,13511310
2003,2172,61360005,61360005
1557,1597,33158901,33158901
3570,2663,8147980,23576248
1314,378,76444248,76444248
1321,1320,20502569,51365009
4717,4517,71574553,9894143
3442,1165,5119684,5119684
4333,3588,9492523,891986
1270,3984,74540117,74540117
1731,4867,66142153,11653099
3177,3082,76641932,29625654
1061,1137,15612828,39995722
1613,1842,82769084,54945133
16,4892,21895301,21895301
4400,4517,80176980,9894143
2425,1757,76854178,57789852
4823,4391,20502569,20502569
2421,2281,64989379,56559788
1249,1602,60934677,17433680
1287,1857,34890513,34890513
204,3142,54031167,9616083
4946,4461,36220913,36220913
3382,1272,37935648,37935648
2929,2458,67656006,67656006
730,219,68091720,68091720
1696,4213,561224,561224
2742,1814,44038217,68662988
1069,1082,5972310,1970790
4407,3365,12051656,12051656
491,876,10191382,28277772
1590,2245,62080505,46804787
632,586,55072146,55072146
3309,2864,913845,4345904
3102,3554,18048964,17124817
2703,839,91169056,91169056
2295,1539,30717269,30717269
1161,1610,72676149,72676149
3010,3736,23293130,23293130
2222,14,85649886,62792469
1766,1949,70881420,62841965
3944,4543,85483706,85483706
1282,1082,1970790,1970790
867,345,66348349,66348349
3771,3834,61216354,55611572
3384,3159,65409297,7592260
4722,609,55929978,84632050
214,194,99591486,58992809
34,2973,35343921,97818130
2393,2232,4421835,4421835
3771,572,61216354,61216354
4615,2883,58423775,58423775
3722,3568,35343921,71622676
1905,2148,98623137,98519341
3864,1931,82044903,82044903
237,299,90960471,99656974
4836,4050,76009643,52214023
2403,2361,93880038,96042947
4433,2613,97257132,97257132
4341,1038,54296406,54296406
2725,2826,26939565,26939565
2066,1958,85254077,95695568
3946,3434,81723326,81723326
202,197,71622676,67128205
1203,1031,66518763,73952224
334,353,68408657,53408192
4668,4587,91119397,91119397
3928,1808,93528021,93528021
3751,2929,90207164,67656006
4131,181,20626521,20626521
4459,4184,4423285,4423285
2076,1370,93491201,89082723
3609,1533,16362430,16362430
116,130,58710869,86189077
1283,3619,18234258,18234258
3571,2446,95288233,95288233
3123,1007,12051656,36849596
4442,4136,42327165,76347047
116,22,58710869,68918502
2421,2657,64989379,90324843
4680,2961,37877728,96723417
4890,4528,49456731,49456731
3173,2292,33869894,74523706
4327,3368,42757268,42757268
2407,2493,88703349,88703349
1173,3380,25768956,25768956
3417,2652,22954923,22954923
1477,4545,62998708,62998708
2313,2831,76008794,76008794
2096,2079,22173108,40971858
4360,2498,57611112,57611112
3928,4036,93528021,94958101
2156,1864,84651227,84651227
4626,4832,8099224,8099224
3568,3464,71622676,83605388
2862,4470,38896305,38896305
1701,2223,13131189,38215862
2943,1951,44660893,44660893
864,2746,32088593,32088593
4379,3908,9819847,54314665
410,95,12204613,63536746
970,432,1104236,1104236
1501,593,74032946,7957687
568,654,69612326,26222227
4494,2848,88395019,88395019
3871,1408,68562779,68562779
4191,4796,13030060,13030060
2206,2974,9236630,40286764
1108,3227,25140237,25140237
2708,1680,58152404,20767183
2752,3938,88437458,88437458
1253,3093,72839141,72839141
4691,4560,63014001,63014001
1774,2270,39038717,90081118
3816,3808,29076434,29076434
1378,1812,27688365,27688365
2312,4834,15616303,15616303
1765,6,30614901,29596005
2649,1221,31138176,31138176
149,562,14609777,81623945
4238,10,74506334,74506334
1041,1372,99236382,99236382
3059,2782,84926098,61947920
640,799,5038127,5038127
2892,161,77969440,77969440
1377,4970,30401654,30401654
988,3697,42932340,42932340
596,729,91315982,58818434
1110,1179,65016397,35347192
1270,2400,74540117,95655877
2187,3792,11844759,64733884
1268,3751,90207164,90207164
1693,1005,78325772,913845
